,Age_group,Facility,Gender,APR,Predict,County
61,0 to 17,Alice Hyde Medical Center,F,Cesarean delivery,3910.02633,Franklin
62,0 to 17,Alice Hyde Medical Center,F,Chronic obstructive pulmonary disease,4572.691644,Franklin
63,0 to 17,Alice Hyde Medical Center,F,Heart failure,4668.29881,Franklin
64,0 to 17,Alice Hyde Medical Center,F,Knee joint replacement,16573.50833,Franklin
65,0 to 17,Alice Hyde Medical Center,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",365.7765841,Franklin
66,0 to 17,Alice Hyde Medical Center,F,Other pneumonia,4456.862782,Franklin
67,0 to 17,Alice Hyde Medical Center,F,Schizophrenia,-110.5737904,Franklin
68,0 to 17,Alice Hyde Medical Center,F,Septicemia & disseminated infections,5013.483848,Franklin
69,0 to 17,Alice Hyde Medical Center,F,Vaginal delivery,3409.544084,Franklin
70,0 to 17,Alice Hyde Medical Center,M,Cellulitis & other skin infections,3895.662857,Franklin
71,0 to 17,Alice Hyde Medical Center,M,Cesarean delivery,4140.335873,Franklin
72,0 to 17,Alice Hyde Medical Center,M,Chronic obstructive pulmonary disease,4803.001187,Franklin
73,0 to 17,Alice Hyde Medical Center,M,Heart failure,4898.608353,Franklin
74,0 to 17,Alice Hyde Medical Center,M,Knee joint replacement,16803.81787,Franklin
75,0 to 17,Alice Hyde Medical Center,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",596.0861271,Franklin
76,0 to 17,Alice Hyde Medical Center,M,Other pneumonia,4687.172325,Franklin
77,0 to 17,Alice Hyde Medical Center,M,Schizophrenia,119.7357526,Franklin
78,0 to 17,Alice Hyde Medical Center,M,Septicemia & disseminated infections,5243.793391,Franklin
79,0 to 17,Alice Hyde Medical Center,M,Vaginal delivery,3639.853627,Franklin
80,0 to 17,Arnot Ogden Medical Center,F,Cellulitis & other skin infections,3317.326492,Chemung
81,0 to 17,Arnot Ogden Medical Center,F,Cesarean delivery,3561.999508,Chemung
82,0 to 17,Arnot Ogden Medical Center,F,Chronic obstructive pulmonary disease,4224.664822,Chemung
83,0 to 17,Arnot Ogden Medical Center,F,Heart failure,4320.271988,Chemung
84,0 to 17,Arnot Ogden Medical Center,F,Knee joint replacement,16225.48151,Chemung
85,0 to 17,Arnot Ogden Medical Center,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",17.74976229,Chemung
86,0 to 17,Arnot Ogden Medical Center,F,Other pneumonia,4108.83596,Chemung
87,0 to 17,Arnot Ogden Medical Center,F,Schizophrenia,-458.6006122,Chemung
88,0 to 17,Arnot Ogden Medical Center,F,Septicemia & disseminated infections,4665.457026,Chemung
89,0 to 17,Arnot Ogden Medical Center,F,Vaginal delivery,3061.517262,Chemung
90,0 to 17,Arnot Ogden Medical Center,M,Cellulitis & other skin infections,3547.636035,Chemung
91,0 to 17,Arnot Ogden Medical Center,M,Cesarean delivery,3792.309051,Chemung
92,0 to 17,Arnot Ogden Medical Center,M,Chronic obstructive pulmonary disease,4454.974365,Chemung
93,0 to 17,Arnot Ogden Medical Center,M,Heart failure,4550.581531,Chemung
94,0 to 17,Arnot Ogden Medical Center,M,Knee joint replacement,16455.79105,Chemung
95,0 to 17,Arnot Ogden Medical Center,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",248.0593053,Chemung
96,0 to 17,Arnot Ogden Medical Center,M,Other pneumonia,4339.145503,Chemung
97,0 to 17,Arnot Ogden Medical Center,M,Schizophrenia,-228.2910692,Chemung
98,0 to 17,Arnot Ogden Medical Center,M,Septicemia & disseminated infections,4895.766569,Chemung
99,0 to 17,Arnot Ogden Medical Center,M,Vaginal delivery,3291.826805,Chemung
100,0 to 17,Auburn Community Hospital,F,Cellulitis & other skin infections,3542.928783,Cayuga
101,0 to 17,Auburn Community Hospital,F,Cesarean delivery,3787.601799,Cayuga
102,0 to 17,Auburn Community Hospital,F,Chronic obstructive pulmonary disease,4450.267113,Cayuga
103,0 to 17,Auburn Community Hospital,F,Heart failure,4545.874279,Cayuga
104,0 to 17,Auburn Community Hospital,F,Knee joint replacement,16451.0838,Cayuga
105,0 to 17,Auburn Community Hospital,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",243.3520533,Cayuga
106,0 to 17,Auburn Community Hospital,F,Other pneumonia,4334.438251,Cayuga
107,0 to 17,Auburn Community Hospital,F,Schizophrenia,-232.9983213,Cayuga
108,0 to 17,Auburn Community Hospital,F,Septicemia & disseminated infections,4891.059317,Cayuga
109,0 to 17,Auburn Community Hospital,F,Vaginal delivery,3287.119553,Cayuga
110,0 to 17,Auburn Community Hospital,M,Cellulitis & other skin infections,3773.238326,Cayuga
111,0 to 17,Auburn Community Hospital,M,Cesarean delivery,4017.911342,Cayuga
112,0 to 17,Auburn Community Hospital,M,Chronic obstructive pulmonary disease,4680.576656,Cayuga
113,0 to 17,Auburn Community Hospital,M,Heart failure,4776.183822,Cayuga
114,0 to 17,Auburn Community Hospital,M,Knee joint replacement,16681.39334,Cayuga
115,0 to 17,Auburn Community Hospital,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",473.6615963,Cayuga
116,0 to 17,Auburn Community Hospital,M,Other pneumonia,4564.747794,Cayuga
117,0 to 17,Auburn Community Hospital,M,Schizophrenia,-2.688778238,Cayuga
118,0 to 17,Auburn Community Hospital,M,Septicemia & disseminated infections,5121.36886,Cayuga
119,0 to 17,Auburn Community Hospital,M,Vaginal delivery,3517.429096,Cayuga
120,0 to 17,Aurelia Osborn Fox Memorial Hospital,F,Cellulitis & other skin infections,1211.688005,Otsego
121,0 to 17,Aurelia Osborn Fox Memorial Hospital,F,Cesarean delivery,1456.361021,Otsego
122,0 to 17,Aurelia Osborn Fox Memorial Hospital,F,Chronic obstructive pulmonary disease,2119.026335,Otsego
123,0 to 17,Aurelia Osborn Fox Memorial Hospital,F,Heart failure,2214.633501,Otsego
124,0 to 17,Aurelia Osborn Fox Memorial Hospital,F,Knee joint replacement,14119.84302,Otsego
125,0 to 17,Aurelia Osborn Fox Memorial Hospital,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",-2087.888725,Otsego
126,0 to 17,Aurelia Osborn Fox Memorial Hospital,F,Other pneumonia,2003.197473,Otsego
127,0 to 17,Aurelia Osborn Fox Memorial Hospital,F,Schizophrenia,-2564.2391,Otsego
128,0 to 17,Aurelia Osborn Fox Memorial Hospital,F,Septicemia & disseminated infections,2559.818538,Otsego
129,0 to 17,Aurelia Osborn Fox Memorial Hospital,F,Vaginal delivery,955.8787748,Otsego
130,0 to 17,Aurelia Osborn Fox Memorial Hospital,M,Cellulitis & other skin infections,1441.997548,Otsego
131,0 to 17,Aurelia Osborn Fox Memorial Hospital,M,Cesarean delivery,1686.670564,Otsego
132,0 to 17,Aurelia Osborn Fox Memorial Hospital,M,Chronic obstructive pulmonary disease,2349.335878,Otsego
133,0 to 17,Aurelia Osborn Fox Memorial Hospital,M,Heart failure,2444.943044,Otsego
134,0 to 17,Aurelia Osborn Fox Memorial Hospital,M,Knee joint replacement,14350.15256,Otsego
135,0 to 17,Aurelia Osborn Fox Memorial Hospital,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",-1857.579182,Otsego
136,0 to 17,Aurelia Osborn Fox Memorial Hospital,M,Other pneumonia,2233.507016,Otsego
137,0 to 17,Aurelia Osborn Fox Memorial Hospital,M,Schizophrenia,-2333.929557,Otsego
138,0 to 17,Aurelia Osborn Fox Memorial Hospital,M,Septicemia & disseminated infections,2790.128082,Otsego
139,0 to 17,Aurelia Osborn Fox Memorial Hospital,M,Vaginal delivery,1186.188318,Otsego
140,0 to 17,Bellevue Hospital Center,F,Cellulitis & other skin infections,4759.539092,New York
141,0 to 17,Bellevue Hospital Center,F,Cesarean delivery,5004.212108,New York
142,0 to 17,Bellevue Hospital Center,F,Chronic obstructive pulmonary disease,5666.877422,New York
143,0 to 17,Bellevue Hospital Center,F,Heart failure,5762.484588,New York
144,0 to 17,Bellevue Hospital Center,F,Knee joint replacement,17667.69411,New York
145,0 to 17,Bellevue Hospital Center,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",1459.962362,New York
146,0 to 17,Bellevue Hospital Center,F,Other pneumonia,5551.04856,New York
147,0 to 17,Bellevue Hospital Center,F,Schizophrenia,983.6119879,New York
148,0 to 17,Bellevue Hospital Center,F,Septicemia & disseminated infections,6107.669626,New York
149,0 to 17,Bellevue Hospital Center,F,Vaginal delivery,4503.729862,New York
150,0 to 17,Bellevue Hospital Center,M,Cellulitis & other skin infections,4989.848635,New York
151,0 to 17,Bellevue Hospital Center,M,Cesarean delivery,5234.521651,New York
152,0 to 17,Bellevue Hospital Center,M,Chronic obstructive pulmonary disease,5897.186965,New York
153,0 to 17,Bellevue Hospital Center,M,Heart failure,5992.794131,New York
154,0 to 17,Bellevue Hospital Center,M,Knee joint replacement,17898.00365,New York
155,0 to 17,Bellevue Hospital Center,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",1690.271905,New York
156,0 to 17,Bellevue Hospital Center,M,Other pneumonia,5781.358103,New York
157,0 to 17,Bellevue Hospital Center,M,Schizophrenia,1213.921531,New York
158,0 to 17,Bellevue Hospital Center,M,Septicemia & disseminated infections,6337.979169,New York
159,0 to 17,Bellevue Hospital Center,M,Vaginal delivery,4734.039405,New York
160,0 to 17,Bertrand Chaffee Hospital,F,Cellulitis & other skin infections,1252.3984,Erie
161,0 to 17,Bertrand Chaffee Hospital,F,Cesarean delivery,1497.071416,Erie
162,0 to 17,Bertrand Chaffee Hospital,F,Chronic obstructive pulmonary disease,2159.73673,Erie
163,0 to 17,Bertrand Chaffee Hospital,F,Heart failure,2255.343896,Erie
164,0 to 17,Bertrand Chaffee Hospital,F,Knee joint replacement,14160.55342,Erie
165,0 to 17,Bertrand Chaffee Hospital,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",-2047.17833,Erie
166,0 to 17,Bertrand Chaffee Hospital,F,Other pneumonia,2043.907868,Erie
167,0 to 17,Bertrand Chaffee Hospital,F,Schizophrenia,-2523.528704,Erie
168,0 to 17,Bertrand Chaffee Hospital,F,Septicemia & disseminated infections,2600.528934,Erie
169,0 to 17,Bertrand Chaffee Hospital,F,Vaginal delivery,996.5891703,Erie
170,0 to 17,Bertrand Chaffee Hospital,M,Cellulitis & other skin infections,1482.707943,Erie
171,0 to 17,Bertrand Chaffee Hospital,M,Cesarean delivery,1727.380959,Erie
172,0 to 17,Bertrand Chaffee Hospital,M,Chronic obstructive pulmonary disease,2390.046273,Erie
173,0 to 17,Bertrand Chaffee Hospital,M,Heart failure,2485.653439,Erie
174,0 to 17,Bertrand Chaffee Hospital,M,Knee joint replacement,14390.86296,Erie
175,0 to 17,Bertrand Chaffee Hospital,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",-1816.868787,Erie
176,0 to 17,Bertrand Chaffee Hospital,M,Other pneumonia,2274.217411,Erie
177,0 to 17,Bertrand Chaffee Hospital,M,Schizophrenia,-2293.219161,Erie
178,0 to 17,Bertrand Chaffee Hospital,M,Septicemia & disseminated infections,2830.838477,Erie
179,0 to 17,Bertrand Chaffee Hospital,M,Vaginal delivery,1226.898713,Erie
180,0 to 17,Blythedale Childrens Hospital,F,Cellulitis & other skin infections,5272.793518,Westchester
181,0 to 17,Blythedale Childrens Hospital,F,Cesarean delivery,5517.466534,Westchester
182,0 to 17,Blythedale Childrens Hospital,F,Chronic obstructive pulmonary disease,6180.131848,Westchester
183,0 to 17,Blythedale Childrens Hospital,F,Heart failure,6275.739014,Westchester
184,0 to 17,Blythedale Childrens Hospital,F,Knee joint replacement,18180.94853,Westchester
185,0 to 17,Blythedale Childrens Hospital,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",1973.216788,Westchester
186,0 to 17,Blythedale Childrens Hospital,F,Other pneumonia,6064.302986,Westchester
187,0 to 17,Blythedale Childrens Hospital,F,Schizophrenia,1496.866414,Westchester
188,0 to 17,Blythedale Childrens Hospital,F,Septicemia & disseminated infections,6620.924052,Westchester
189,0 to 17,Blythedale Childrens Hospital,F,Vaginal delivery,5016.984288,Westchester
190,0 to 17,Blythedale Childrens Hospital,M,Cellulitis & other skin infections,5503.103061,Westchester
191,0 to 17,Blythedale Childrens Hospital,M,Cesarean delivery,5747.776077,Westchester
192,0 to 17,Blythedale Childrens Hospital,M,Chronic obstructive pulmonary disease,6410.441391,Westchester
193,0 to 17,Blythedale Childrens Hospital,M,Heart failure,6506.048557,Westchester
194,0 to 17,Blythedale Childrens Hospital,M,Knee joint replacement,18411.25808,Westchester
195,0 to 17,Blythedale Childrens Hospital,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",2203.526331,Westchester
196,0 to 17,Blythedale Childrens Hospital,M,Other pneumonia,6294.612529,Westchester
197,0 to 17,Blythedale Childrens Hospital,M,Schizophrenia,1727.175957,Westchester
198,0 to 17,Blythedale Childrens Hospital,M,Septicemia & disseminated infections,6851.233595,Westchester
199,0 to 17,Blythedale Childrens Hospital,M,Vaginal delivery,5247.293831,Westchester
200,0 to 17,Bon Secours Community Hospital,F,Cellulitis & other skin infections,10679.96655,Orange
201,0 to 17,Bon Secours Community Hospital,F,Cesarean delivery,10924.63957,Orange
202,0 to 17,Bon Secours Community Hospital,F,Chronic obstructive pulmonary disease,11587.30488,Orange
203,0 to 17,Bon Secours Community Hospital,F,Heart failure,11682.91205,Orange
204,0 to 17,Bon Secours Community Hospital,F,Knee joint replacement,23588.12157,Orange
205,0 to 17,Bon Secours Community Hospital,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",7380.389822,Orange
206,0 to 17,Bon Secours Community Hospital,F,Other pneumonia,11471.47602,Orange
207,0 to 17,Bon Secours Community Hospital,F,Schizophrenia,6904.039448,Orange
208,0 to 17,Bon Secours Community Hospital,F,Septicemia & disseminated infections,12028.09709,Orange
209,0 to 17,Bon Secours Community Hospital,F,Vaginal delivery,10424.15732,Orange
210,0 to 17,Bon Secours Community Hospital,M,Cellulitis & other skin infections,10910.2761,Orange
211,0 to 17,Bon Secours Community Hospital,M,Cesarean delivery,11154.94911,Orange
212,0 to 17,Bon Secours Community Hospital,M,Chronic obstructive pulmonary disease,11817.61443,Orange
213,0 to 17,Bon Secours Community Hospital,M,Heart failure,11913.22159,Orange
214,0 to 17,Bon Secours Community Hospital,M,Knee joint replacement,23818.43111,Orange
215,0 to 17,Bon Secours Community Hospital,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",7610.699365,Orange
216,0 to 17,Bon Secours Community Hospital,M,Other pneumonia,11701.78556,Orange
217,0 to 17,Bon Secours Community Hospital,M,Schizophrenia,7134.348991,Orange
218,0 to 17,Bon Secours Community Hospital,M,Septicemia & disseminated infections,12258.40663,Orange
219,0 to 17,Bon Secours Community Hospital,M,Vaginal delivery,10654.46687,Orange
220,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,F,Cellulitis & other skin infections,3368.13913,Bronx
221,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,F,Cesarean delivery,3612.812146,Bronx
222,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,F,Chronic obstructive pulmonary disease,4275.47746,Bronx
223,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,F,Heart failure,4371.084626,Bronx
224,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,F,Knee joint replacement,16276.29415,Bronx
225,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",68.56240043,Bronx
226,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,F,Other pneumonia,4159.648598,Bronx
227,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,F,Schizophrenia,-407.7879741,Bronx
228,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,F,Septicemia & disseminated infections,4716.269664,Bronx
229,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,F,Vaginal delivery,3112.3299,Bronx
230,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,M,Cellulitis & other skin infections,3598.448673,Bronx
231,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,M,Cesarean delivery,3843.121689,Bronx
232,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,M,Chronic obstructive pulmonary disease,4505.787003,Bronx
233,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,M,Heart failure,4601.394169,Bronx
234,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,M,Knee joint replacement,16506.60369,Bronx
235,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",298.8719434,Bronx
236,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,M,Other pneumonia,4389.958141,Bronx
237,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,M,Schizophrenia,-177.4784311,Bronx
238,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,M,Septicemia & disseminated infections,4946.579207,Bronx
239,0 to 17,Bronx-Lebanon Hospital Center - Concourse Division,M,Vaginal delivery,3342.639443,Bronx
240,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,F,Cellulitis & other skin infections,5023.755897,Bronx
241,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,F,Cesarean delivery,5268.428913,Bronx
242,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,F,Chronic obstructive pulmonary disease,5931.094227,Bronx
243,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,F,Heart failure,6026.701393,Bronx
244,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,F,Knee joint replacement,17931.91091,Bronx
245,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",1724.179167,Bronx
246,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,F,Other pneumonia,5815.265365,Bronx
247,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,F,Schizophrenia,1247.828792,Bronx
248,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,F,Septicemia & disseminated infections,6371.88643,Bronx
249,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,F,Vaginal delivery,4767.946667,Bronx
250,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,M,Cellulitis & other skin infections,5254.06544,Bronx
251,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,M,Cesarean delivery,5498.738456,Bronx
252,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,M,Chronic obstructive pulmonary disease,6161.40377,Bronx
253,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,M,Heart failure,6257.010936,Bronx
254,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,M,Knee joint replacement,18162.22045,Bronx
255,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",1954.48871,Bronx
256,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,M,Other pneumonia,6045.574908,Bronx
257,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,M,Schizophrenia,1478.138335,Bronx
258,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,M,Septicemia & disseminated infections,6602.195973,Bronx
259,0 to 17,Bronx-Lebanon Hospital Center - Fulton Division,M,Vaginal delivery,4998.25621,Bronx
260,0 to 17,Brookdale Hospital Medical Center,F,Cellulitis & other skin infections,5360.572044,Kings
261,0 to 17,Brookdale Hospital Medical Center,F,Cesarean delivery,5605.24506,Kings
262,0 to 17,Brookdale Hospital Medical Center,F,Chronic obstructive pulmonary disease,6267.910374,Kings
263,0 to 17,Brookdale Hospital Medical Center,F,Heart failure,6363.51754,Kings
264,0 to 17,Brookdale Hospital Medical Center,F,Knee joint replacement,18268.72706,Kings
265,0 to 17,Brookdale Hospital Medical Center,F,"Neonate birthwt >2499g, normal newborn or neonate w other problem",2060.995314,Kings
266,0 to 17,Brookdale Hospital Medical Center,F,Other pneumonia,6152.081512,Kings
267,0 to 17,Brookdale Hospital Medical Center,F,Schizophrenia,1584.64494,Kings
268,0 to 17,Brookdale Hospital Medical Center,F,Septicemia & disseminated infections,6708.702578,Kings
269,0 to 17,Brookdale Hospital Medical Center,F,Vaginal delivery,5104.762814,Kings
270,0 to 17,Brookdale Hospital Medical Center,M,Cellulitis & other skin infections,5590.881587,Kings
271,0 to 17,Brookdale Hospital Medical Center,M,Cesarean delivery,5835.554603,Kings
272,0 to 17,Brookdale Hospital Medical Center,M,Chronic obstructive pulmonary disease,6498.219917,Kings
273,0 to 17,Brookdale Hospital Medical Center,M,Heart failure,6593.827083,Kings
274,0 to 17,Brookdale Hospital Medical Center,M,Knee joint replacement,18499.0366,Kings
275,0 to 17,Brookdale Hospital Medical Center,M,"Neonate birthwt >2499g, normal newborn or neonate w other problem",2291.304857,Kings
276,0 to 17,Brookdale Hospital Medical Center,M,Other pneumonia,6382.391055,Kings
277,0 to 17,Brookdale Hospital Medical Center,M,Schizophrenia,1814.954483,Kings
278,0 to 17,Brookdale Hospital Medical Center,M,Septicemia & disseminated infections,6939.012121,Kings
279,0 to 17,Brookdale Hospital Medical Center,M,Vaginal delivery,5335.072357,Kings
280,0 to 17,Brookhaven Memorial Hospital Medical Center Inc,F,Cellulitis & other skin infections,8217.652114,Suffolk
281,0 to 17,Brookhaven Memorial Hospital Medical Center Inc,F,Cellulitis & other skin infections,8217.652114,Suffolk
282,0 to 17,Brookhaven Memorial Hospital Medical Center Inc,F,Cesarean delivery,8462.32513,Suffolk
283,0 to 17,Brookhaven Memorial Hospital Medical Center Inc,F,Cesarean delivery,8462.32513,Suffolk
284,0 to 17,Brookhaven Memorial Hospital Medical Center Inc,F,Chronic obstructive pulmonary disease,9124.990444,Suffolk
285,0 to 17,Brookhaven Memorial Hospital Medical Center Inc,F,Chronic obstructive pulmonary disease,9124.990444,Suffolk
286,0 to 17,Brookhaven Memorial Hospital Medical Center Inc,F,Heart failure,9220.59761,Suffolk
